FIN,DVS,WSO,SM,NAVAIL,LAI,NAMOUNTRT,NDEMANDST,PDEMANDSO,RNUPTAKE,RKUPTAKERT,RPUPTAKELV,KDEMANDLV,PTRANSLOCATABLE,PAVAIL,PERCT,WRT,GRLV,IRRAD,TEMP,TMIN,TMAX,VAP,RAIN,WIND,DAYS ELAPSED
0.0,-0.09941269600068894,0.0,0.3123738308298822,0.21831790879610857,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3467247923447859,0.0,9.22914976531231,0.0,12150000.0,8.97,4.0,13.97,10.240866553894,0.162,1.8,1.0
0.0,-0.09639205866804454,0.0,0.3622834024617423,0.5154136067469725,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6656464396284948,0.0,9.22914976531231,0.0,15890000.0,10.13,5.99,15.17,10.290065723928432,0.20299999999999999,1.36,2.0
0.0,-0.0914380880020668,0.0,0.36238599672201993,0.8125093046978363,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9845680869122037,0.0,9.22914976531231,0.0,13820000.0,10.4,6.43,14.35,10.396193950989241,0.11200000000000002,1.86,3.0
0.0,-0.08603411733608908,0.0,0.3539556215975304,1.1096050026487,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3034897341959124,0.0,9.22914976531231,0.0,17610000.0,11.34,4.69,16.58,11.372474406004876,0.215,1.81,4.0
0.0,-0.07906348000344468,0.0,0.3600171993488529,1.406700700599564,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6224113814796213,0.0,9.22914976531231,0.0,5910000.0,11.59,8.25,15.25,12.173062948610973,0.261,2.58,5.0
0.0,-0.07167617600413362,0.0,0.3724261369953126,1.7037963985504279,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9413330287633301,0.0,9.22914976531231,0.0,18950000.0,6.16,2.57,9.97,7.333812362784213,0.118,5.17,6.0
0.0,-0.07167617600413362,0.0,0.35758010539342866,2.0008920965012917,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260254676047039,0.0,9.22914976531231,0.0,18050000.0,5.86,1.86,10.34,7.0513659676731315,0.013000000000000001,3.77,7.0
0.0,-0.07167617600413362,0.0,0.34448524205590275,2.2979877944521556,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.579176323330748,0.0,9.22914976531231,0.0,13940000.0,5.57,0.91,10.08,6.991033827118848,0.015,3.72,8.0
0.0,-0.07167617600413362,0.0,0.3745512850724075,2.5950834924030195,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8980979706144567,0.0,9.22914976531231,0.0,13950000.0,5.8,1.37,9.86,7.240295178109636,0.098,3.57,9.0
0.0,-0.07167617600413362,0.0,0.36475368072659226,2.8921791903538834,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2170196178981656,0.0,9.22914976531231,0.0,13880000.0,5.71,3.48,7.75,8.265208707618116,0.692,4.46,10.0
0.0,-0.07167617600413362,0.0,0.422297555665308,3.1892748883047473,0.008859983774699818,0.30312779376055055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5359412651818745,0.0,9.22914976531231,0.0,11150000.0,7.27,4.12,10.83,8.423297447786481,0.099,4.61,11.0
