FIN,DVS,WSO,SM,NAVAIL,LAI,NAMOUNTRT,NDEMANDST,PDEMANDSO,RNUPTAKE,RKUPTAKERT,RPUPTAKELV,KDEMANDLV,PTRANSLOCATABLE,PAVAIL,PERCT,WRT,GRLV,IRRAD,TEMP,TMIN,TMAX,VAP,RAIN,WIND,DAYS ELAPSED
0.0,-0.1,0.0,0.279239693679513,0.18804348268170434,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2950461618089899,0.0,2.612214908391138,0.0,12150000.0,8.97,4.0,13.97,10.240866553894,0.162,1.8,1.0
0.0,-0.1,0.0,0.3032963538381057,0.5257269822113698,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6295032939829739,0.0,2.612214908391138,0.0,15890000.0,10.13,5.99,15.17,10.290065723928432,0.20299999999999999,1.36,2.0
0.0,-0.1,0.0,0.3033855761431397,0.8634104817410353,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639604261569579,0.0,2.612214908391138,0.0,13820000.0,10.4,6.43,14.35,10.396193950989241,0.11200000000000002,1.86,3.0
0.0,-0.1,0.0,0.2960540012687513,1.2010939812707009,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2984175583309419,0.0,2.612214908391138,0.0,17610000.0,11.34,4.69,16.58,11.372474406004876,0.215,1.81,4.0
0.0,-0.09896441870953258,0.0,0.30132552364877574,1.5387774808003662,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6328746905049258,0.0,2.612214908391138,0.0,5910000.0,11.59,8.25,15.25,12.173062948610973,0.261,2.58,5.0
0.0,-0.0975716945619223,0.0,0.31211710221120004,1.8764609803300316,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9673318226789098,0.0,2.612214908391138,0.0,18950000.0,6.16,2.57,9.97,7.333812362784213,0.118,5.17,6.0
0.0,-0.0975716945619223,0.0,0.29920607622843404,2.214144479859697,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301788954852894,0.0,2.612214908391138,0.0,18050000.0,5.86,1.86,10.34,7.0513659676731315,0.013000000000000001,3.77,7.0
0.0,-0.0975716945619223,0.0,0.2878179743217863,2.5518279793893623,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6362460870268776,0.0,2.612214908391138,0.0,13940000.0,5.57,0.91,10.08,6.991033827118848,0.015,3.72,8.0
0.0,-0.0975716945619223,0.0,0.313965262229741,2.8895114789190277,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9707032192008613,0.0,2.612214908391138,0.0,13950000.0,5.8,1.37,9.86,7.240295178109636,0.098,3.57,9.0
0.0,-0.0975716945619223,0.0,0.3054446603834113,3.227194978448693,0.021942605230485558,0.09105589928941937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.305160351374845,0.0,2.612214908391138,0.0,13880000.0,5.71,3.48,7.75,8.265208707618116,0.692,4.46,10.0
